wl,floor_5,floor_4,floor_3,floor_2,floor_1
228.63,172.266,146.91,66.719,75.753,158.637
229.01,149.718,134.04,61.158,76.271,134.463
229.39,155.626,138.51,48.177,81.3,133.914
229.78,154.23,130.967,37.16,77.19,122.81
230.16,140.683,118.634,32.148,63.016,113.229
230.54,142.816,127.299,28.736,55.603,118.534
230.93,134.932,125.068,27.397,50.274,111.507
231.31,136.7,129.303,24.893,52.063,109.531
231.69,142.457,132.037,28.616,46.19,113.53
232.08,130.488,127.591,33.994,39.939,114.787
232.46,138.438,135.781,29.219,36.406,112.5
232.84,142.097,136.17,13.982,33.891,107.447
233.23,151.192,136.725,13.037,38.156,114.149
233.61,157.581,132.879,3.237,31.005,114.14
233.99,157.343,126.224,5.07,23.077,112.063
234.38,177.505,142.127,2.045,23.108,116.155
234.76,176.044,146.154,0.22,25.055,108.791
235.14,189.598,169.267,9.929,31.678,137.116
235.53,211.111,179.04,14.646,38.131,152.02
235.91,197.664,155.841,6.776,50.467,143.692
236.29,201.067,177.867,-1.867,43.733,158.133
236.67,197.927,181.606,-10.881,43.005,137.306
237.06,229.412,197.059,-17.059,42.941,149.706
237.44,263.696,210.231,-24.092,52.805,160.396
237.82,251.908,198.092,-62.595,33.969,167.176
238.21,329.146,256.784,-96.482,41.206,188.945
238.59,352.332,250.777,-89.119,43.005,187.565
238.97,462.857,342.143,-129.286,74.286,277.143
239.35,437.903,379.032,-179.839,91.129,312.097
239.74,445.238,355.556,-197.619,76.984,307.937
240.12,508,354.4,-195.2,88.8,285.6
240.5,409.434,302.516,-86.792,116.981,257.862
240.88,713.83,543.617,-98.936,255.319,388.298
241.27,613.274,469.912,-48.673,284.956,382.301
241.65,693.548,523.656,-80.645,262.366,478.495
242.03,754.255,578.723,-39.362,321.277,507.447
242.41,701.923,552.885,-19.231,312.5,474.038
242.79,769.767,631.395,-97.674,287.209,534.884
243.18,1012.698,863.492,-111.111,411.111,811.111
243.56,966.154,827.692,-153.846,380,806.154
243.94,-6550,-5770,1270,-2650,-5450
244.32,1524,1318,-190,612,1116
244.7,2520,2176.667,-430,890,1883.333
245.09,38100,31950,-8450,13250,28100
245.47,2105.882,1767.647,-517.647,632.353,1550
245.85,905,733.75,-228.75,292.5,618.75
246.23,478.125,381.875,-88.125,133.125,313.125
246.61,518.71,394.839,-67.097,169.032,339.355
247,642.276,413.821,-138.211,161.789,376.423
247.38,714.407,366.949,-130.508,170.339,405.085
247.76,1026.506,491.566,-190.361,219.277,566.265
248.14,5566.667,2833.333,-1020,1080,2880
248.52,-1340,-635,275,-243.333,-655
248.9,-5821.429,-2400,1235.714,-1035.714,-2578.571
249.29,-75800,-29500,21800,-11400,-30900
249.67,-1396.226,-552.83,371.698,-183.019,-479.245
250.05,-2757.143,-1246.429,614.286,-485.714,-957.143
250.43,-11585.714,-5800,871.429,-2614.286,-4285.714
250.81,-855.435,-344.565,111.957,-213.043,-211.957
251.19,-721.101,-155.963,148.624,-139.45,-177.982
251.57,-1087.838,-239.189,166.216,-232.432,-308.108
251.96,-823.711,-156.701,150.515,-124.742,-204.124
252.34,-985.542,-231.325,167.47,-144.578,-275.904
252.72,-784.158,-207.921,127.723,-173.267,-188.119
253.1,-806.186,-164.948,156.701,-152.577,-231.959
253.48,-694.231,-113.462,175,-114.423,-202.885
253.86,-692.593,-137.963,156.481,-96.296,-193.519
254.24,-622.321,-92.857,152.679,-58.036,-140.179
254.62,-1178.689,-226.23,355.738,-126.23,-175.41
255.01,-751.087,-71.739,307.609,-42.391,-31.522
255.39,-1510.417,-179.167,477.083,-154.167,-114.583
255.77,9850,1025,-2237.5,1750,625
256.15,8566.667,1177.778,-922.222,2200,400
256.53,2907.407,700,-322.222,1100,144.444
256.91,4470.588,1182.353,-600,1741.176,76.471
257.29,2036.111,580.556,-280.556,836.111,-52.778
257.67,1200,368.333,-166.667,451.667,-133.333
258.05,1004.412,350,-170.588,355.882,-116.176
258.43,1820,482.857,-571.429,554.286,-297.143
258.81,1076.923,303.077,-189.231,315.385,-132.308
259.19,2239.286,564.286,-714.286,589.286,-507.143
259.57,1330.612,391.837,-410.204,302.041,-193.878
259.95,943.077,312.308,-192.308,249.231,-169.231
260.34,978.125,385.938,-143.75,310.938,-109.375
260.72,653.333,361.111,-76.667,223.333,-115.556
261.1,670.455,320.455,-106.818,180.682,-169.318
261.48,508.13,300,-18.699,172.358,-91.057
261.86,598.131,378.505,-1.869,221.495,-66.355
262.24,741.573,473.034,10.112,292.135,-32.584
262.62,654.839,386.022,-13.978,288.172,-94.624
263,3473.333,1666.667,-486.667,1093.333,-966.667
263.38,5937.5,3325,-562.5,1900,-1837.5
263.76,-7900,-3583.333,66.667,-1616.667,3233.333
264.14,-688.235,-279.412,35.294,-144.118,258.824
264.52,-755.556,-266.667,58.73,-53.968,390.476
264.9,-554.795,-124.658,71.233,67.123,369.863
265.28,-917.391,-404.348,-97.826,84.783,508.696
265.66,577.778,313.58,169.136,24.691,-198.765
266.04,299.342,171.053,105.921,22.368,-94.079
266.42,267.647,109.412,115.882,37.647,-100.588
266.8,579.487,221.795,261.538,76.923,-292.308
267.18,3140,926.667,1480,480,-1713.333
267.56,-6671.429,-1828.571,-3271.429,-1157.143,3285.714
267.94,504.587,206.422,365.138,125.688,-111.009
268.32,2156.522,647.826,1717.391,439.13,-743.478
