wl,grey,white
244.32,9.33E-02,1.07E-01
244.7,8.75E-02,9.94E-02
245.09,8.15E-02,9.40E-02
245.47,7.60E-02,8.85E-02
245.85,7.07E-02,8.10E-02
246.23,6.16E-02,6.75E-02
246.61,6.05E-02,5.51E-02
247,5.77E-02,5.97E-02
247.38,6.29E-02,5.79E-02
247.76,6.71E-02,5.70E-02
248.14,6.29E-02,4.99E-02
248.52,6.45E-02,4.84E-02
248.9,6.94E-02,4.92E-02
249.29,6.87E-02,4.56E-02
249.67,6.67E-02,4.15E-02
250.05,6.11E-02,3.56E-02
250.43,5.17E-02,2.25E-02
250.81,5.19E-02,1.22E-02
251.19,4.68E-02,1.27E-02
251.57,5.40E-02,2.54E-02
251.96,5.97E-02,3.11E-02
252.34,5.56E-02,3.15E-02
252.72,5.25E-02,2.76E-02
253.1,5.09E-02,2.52E-02
253.48,4.81E-02,3.16E-02
253.86,4.72E-02,3.04E-02
254.24,4.41E-02,3.10E-02
254.62,4.06E-02,2.53E-02
255.01,4.51E-02,1.36E-02
255.39,4.30E-02,6.59E-03
255.77,4.73E-02,1.20E-02
256.15,4.52E-02,9.24E-03
256.53,4.77E-02,9.82E-03
256.91,4.90E-02,1.02E-02
257.29,5.23E-02,2.19E-02
257.67,5.35E-02,1.77E-02
258.05,5.61E-02,2.12E-02
258.43,5.49E-02,2.08E-02
258.81,5.91E-02,2.01E-02
259.19,5.89E-02,2.34E-02
259.57,5.02E-02,2.05E-02
259.95,5.03E-02,1.92E-02
260.34,4.96E-02,2.39E-02
260.72,4.61E-02,2.54E-02
261.1,4.39E-02,2.62E-02
261.48,4.74E-02,2.70E-02
261.86,4.88E-02,2.79E-02
262.24,5.15E-02,3.45E-02
262.62,5.63E-02,3.84E-02
263,5.88E-02,3.73E-02
263.38,5.94E-02,4.62E-02
263.76,6.39E-02,4.89E-02
264.14,6.37E-02,4.86E-02
264.52,6.36E-02,4.47E-02
264.9,6.60E-02,5.02E-02
265.28,6.85E-02,5.20E-02
265.66,7.34E-02,5.64E-02
266.04,7.59E-02,5.65E-02
266.42,7.39E-02,5.78E-02
266.8,7.72E-02,6.08E-02
267.18,7.98E-02,5.96E-02
267.56,7.57E-02,6.23E-02
267.94,7.56E-02,6.74E-02
268.32,7.70E-02,6.70E-02
268.7,7.75E-02,6.71E-02
269.08,7.52E-02,6.88E-02
269.45,7.25E-02,7.13E-02
269.83,7.17E-02,6.56E-02
270.21,6.80E-02,6.65E-02
270.59,6.60E-02,6.14E-02
270.97,6.48E-02,6.28E-02
271.35,6.24E-02,6.51E-02
271.73,6.98E-02,6.98E-02
272.11,7.29E-02,6.70E-02
272.49,7.27E-02,6.38E-02
272.87,7.27E-02,6.49E-02
273.25,7.48E-02,6.84E-02
273.63,7.43E-02,6.85E-02
274.01,7.52E-02,6.92E-02
274.39,6.87E-02,6.68E-02
274.76,6.60E-02,6.69E-02
275.14,6.46E-02,6.35E-02
275.52,6.78E-02,7.12E-02
275.9,7.23E-02,7.33E-02
276.28,6.68E-02,6.80E-02
276.66,6.33E-02,6.22E-02
277.04,5.91E-02,6.48E-02
277.42,5.52E-02,5.80E-02
277.79,5.59E-02,5.74E-02
278.17,4.82E-02,5.41E-02
278.55,5.00E-02,5.75E-02
278.93,4.99E-02,5.31E-02
279.31,4.61E-02,5.32E-02
279.69,4.50E-02,5.34E-02
280.07,4.76E-02,5.65E-02
280.44,4.93E-02,5.62E-02
280.82,4.63E-02,5.39E-02
281.2,4.26E-02,5.55E-02
