"wl","a.450","a.505","a.525","a.545","a.570","a.590","a.625","comp_spectra"
176.12,NA,NA,NA,NA,NA,NA,NA,NA
176.5,NA,NA,NA,NA,NA,NA,NA,NA
176.89,NA,NA,NA,NA,NA,NA,NA,NA
177.28,NA,NA,NA,NA,NA,NA,NA,NA
177.67,NA,NA,NA,NA,NA,NA,NA,NA
178.06,NA,NA,NA,NA,NA,NA,NA,NA
178.45,NA,NA,NA,NA,NA,NA,NA,NA
178.84,NA,NA,NA,NA,NA,NA,NA,NA
179.22,NA,NA,NA,NA,NA,NA,NA,NA
179.61,NA,NA,NA,NA,NA,NA,NA,NA
180,NA,NA,NA,NA,NA,NA,NA,NA
180.39,NA,NA,NA,NA,NA,NA,NA,NA
180.78,NA,NA,NA,NA,NA,NA,NA,NA
181.16,NA,NA,NA,NA,NA,NA,NA,NA
181.55,NA,NA,NA,NA,NA,NA,NA,NA
181.94,NA,NA,NA,NA,NA,NA,NA,NA
182.33,NA,NA,NA,NA,NA,NA,NA,NA
182.72,NA,NA,NA,NA,NA,NA,NA,NA
183.1,NA,NA,NA,NA,NA,NA,NA,NA
183.49,NA,NA,NA,NA,NA,NA,NA,NA
183.88,NA,NA,NA,NA,NA,NA,NA,NA
184.27,NA,NA,NA,NA,NA,NA,NA,NA
184.66,NA,NA,NA,NA,NA,NA,NA,NA
185.04,NA,NA,NA,NA,NA,NA,NA,NA
185.43,NA,NA,NA,NA,NA,NA,NA,NA
185.82,NA,NA,NA,NA,NA,NA,NA,NA
186.21,NA,NA,NA,NA,NA,NA,NA,NA
186.59,NA,NA,NA,NA,NA,NA,NA,NA
186.98,NA,NA,NA,NA,NA,NA,NA,NA
187.37,NA,NA,NA,NA,NA,NA,NA,NA
187.76,NA,NA,NA,NA,NA,NA,NA,NA
188.15,NA,NA,NA,NA,NA,NA,NA,NA
188.53,NA,NA,NA,NA,NA,NA,NA,NA
188.92,NA,NA,NA,NA,NA,NA,NA,NA
189.31,NA,NA,NA,NA,NA,NA,NA,NA
189.69,NA,NA,NA,NA,NA,NA,NA,NA
190.08,NA,NA,NA,NA,NA,NA,NA,NA
190.47,NA,NA,NA,NA,NA,NA,NA,NA
190.86,NA,NA,NA,NA,NA,NA,NA,NA
191.24,NA,NA,NA,NA,NA,NA,NA,NA
191.63,NA,NA,NA,NA,NA,NA,NA,NA
192.02,NA,NA,NA,NA,NA,NA,NA,NA
192.41,NA,NA,NA,NA,NA,NA,NA,NA
192.79,NA,NA,NA,NA,NA,NA,NA,NA
193.18,NA,NA,NA,NA,NA,NA,NA,NA
193.57,NA,NA,NA,NA,NA,NA,NA,NA
193.95,NA,NA,NA,NA,NA,NA,NA,NA
194.34,NA,NA,NA,NA,NA,NA,NA,NA
194.73,NA,NA,NA,NA,NA,NA,NA,NA
195.11,NA,NA,NA,NA,NA,NA,NA,NA
195.5,NA,NA,NA,NA,NA,NA,NA,NA
195.89,NA,NA,NA,NA,NA,NA,NA,NA
196.27,NA,NA,NA,NA,NA,NA,NA,NA
196.66,NA,NA,NA,NA,NA,NA,NA,NA
197.05,NA,NA,NA,NA,NA,NA,NA,NA
197.43,NA,NA,NA,NA,NA,NA,NA,NA
